geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Kern County, CA",county,05000US06029,9876,10055,9931,9684,9708
"Kings County, CA",county,05000US06031,9123,8916,8726,8736,8532
"Lake County, CA",county,05000US06033,8630,8981,8490,8220,8176
"Lassen County, CA",county,05000US06035,8292,8156,7965,8587,8149
"Los Angeles County, CA",county,05000US06037,11294,11656,11701,11512,11222
"Madera County, CA",county,05000US06039,8011,7995,7860,7647,7606
"Marin County, CA",county,05000US06041,7722,7901,8030,7837,7585
"Mariposa County, CA",county,05000US06043,7504,7567,7495,7661,8154
"Mendocino County, CA",county,05000US06045,7077,6655,6550,6691,6712
"Merced County, CA",county,05000US06047,8299,8368,8232,8385,8297
"Modoc County, CA",county,05000US06049,6887,8347,7276,7669,6937
"Mono County, CA",county,05000US06051,7236,6769,7374,8480,8058
"Monterey County, CA",county,05000US06053,7633,7715,7482,7580,7306
"Napa County, CA",county,05000US06055,8797,8981,9103,8228,7925
"Nevada County, CA",county,05000US06057,7090,7443,7459,7312,7165
"Orange County, CA",county,05000US06059,10339,10511,10486,10125,9992
"Placer County, CA",county,05000US06061,7314,7601,7901,7781,7571
"Plumas County, CA",county,05000US06063,8050,7950,7584,7920,7610
"Riverside County, CA",county,05000US06065,9351,9595,9809,9395,9285
"Sacramento County, CA",county,05000US06067,7683,7917,7971,7958,7827
"San Benito County, CA",county,05000US06069,7632,7902,7391,7266,7383
"San Bernardino County, CA",county,05000US06071,10035,10189,10117,9880,9491
"San Diego County, CA",county,05000US06073,8945,9215,9131,8881,8629
"San Francisco County, CA",county,05000US06075,7645,7676,7588,7598,7380
"San Joaquin County, CA",county,05000US06077,8500,8648,8655,8032,8310
"San Luis Obispo County, CA",county,05000US06079,7319,7440,7256,7163,7242
"San Mateo County, CA",county,05000US06081,7437,7256,7473,7442,7225
"Santa Barbara County, CA",county,05000US06083,7382,7466,7426,7512,7593
"Santa Clara County, CA",county,05000US06085,7783,7924,7875,7714,7796
"Santa Cruz County, CA",county,05000US06087,7362,7208,7331,7085,7046
"Shasta County, CA",county,05000US06089,8441,8394,8257,8165,8083
"Sierra County, CA",county,05000US06091,7757,7782,7931,7625,8088
"Siskiyou County, CA",county,05000US06093,6558,6521,6623,6637,6755
"Solano County, CA",county,05000US06095,7623,7499,7536,7548,7227
"Sonoma County, CA",county,05000US06097,7684,7701,7735,7169,7390
"Stanislaus County, CA",county,05000US06099,8836,8617,8670,8360,8741
"Sutter County, CA",county,05000US06101,7939,8204,8538,8329,7979
"Tehama County, CA",county,05000US06103,7603,7856,7920,7280,7385
"Trinity County, CA",county,05000US06105,7725,7485,6876,7444,7313
"Tulare County, CA",county,05000US06107,8482,8440,8424,8168,8173
"Tuolumne County, CA",county,05000US06109,7495,7690,7679,7420,7552
"Ventura County, CA",county,05000US06111,9042,9365,9333,9377,9252
"Yolo County, CA",county,05000US06113,6616,6904,6652,6778,6432
"Yuba County, CA",county,05000US06115,7818,8695,9080,8512,8377
"Adams County, CO",county,05000US08001,9562,10121,9772,9336,9625
"Alamosa County, CO",county,05000US08003,6562,7229,7236,6369,7188
"Arapahoe County, CO",county,05000US08005,9466,9276,9542,9325,9226
"Archuleta County, CO",county,05000US08007,6531,7774,6664,7329,7176
"Baca County, CO",county,05000US08009,8665,9048,9421,8979,10053
"Bent County, CO",county,05000US08011,8339,8635,8893,7715,7006
"Boulder County, CO",county,05000US08013,8511,8484,8513,8386,8343
"Broomfield County, CO",county,05000US08014,9191,8403,9092,8450,8114
"Chaffee County, CO",county,05000US08015,7761,7756,7732,7274,7565
"Cheyenne County, CO",county,05000US08017,9809,9172,9384,9392,7751
"Clear Creek County, CO",county,05000US08019,9945,9483,7137,5573,5935
"Conejos County, CO",county,05000US08021,7260,8234,8325,7868,7606
"Costilla County, CO",county,05000US08023,6446,6186,7688,5828,5723
"Crowley County, CO",county,05000US08025,8456,9807,7675,8826,8421
"Custer County, CO",county,05000US08027,6297,6198,7404,6373,6125
"Delta County, CO",county,05000US08029,6958,7134,6965,6219,6793
"Denver County, CO",county,05000US08031,9058,8891,8809,8521,8697
"Dolores County, CO",county,05000US08033,6303,7121,8523,8484,7887
"Douglas County, CO",county,05000US08035,9596,9364,9487,9478,9521
"Eagle County, CO",county,05000US08037,8236,7774,7829,7911,7355
"Elbert County, CO",county,05000US08039,9266,8848,8377,8082,8102
"El Paso County, CO",county,05000US08041,8609,8595,8631,8194,8368
"Fremont County, CO",county,05000US08043,7247,7272,7720,7924,7381
"Garfield County, CO",county,05000US08045,7349,7054,7598,7309,7727
"Gilpin County, CO",county,05000US08047,8749,7450,6571,8507,8847
"Grand County, CO",county,05000US08049,9604,7837,7418,7970,8277
"Gunnison County, CO",county,05000US08051,7424,7339,6649,7780,6926
"Hinsdale County, CO",county,05000US08053,8376,8776,6439,8174,5929
"Huerfano County, CO",county,05000US08055,8773,7476,7655,7714,6284
"Jackson County, CO",county,05000US08057,7569,7296,8443,9961,9340
"Jefferson County, CO",county,05000US08059,9021,9113,9087,8735,8717
"Kiowa County, CO",county,05000US08061,10794,10455,7852,9355,9337
"Kit Carson County, CO",county,05000US08063,9571,8517,9259,9090,10469
"Lake County, CO",county,05000US08065,8709,9095,8350,9095,7820
"La Plata County, CO",county,05000US08067,6950,6683,7043,7017,7278
"Larimer County, CO",county,05000US08069,8155,8234,8163,7950,7981
"Las Animas County, CO",county,05000US08071,7044,7891,8327,8047,8714
"Lincoln County, CO",county,05000US08073,10224,8235,9655,8944,9881
"Logan County, CO",county,05000US08075,7826,8251,8006,8307,8135
"Mesa County, CO",county,05000US08077,6802,6776,6869,6575,6932
"Mineral County, CO",county,05000US08079,7879,8470,7106,7730,6903
"Moffat County, CO",county,05000US08081,8689,9388,9600,9750,9045
"Montezuma County, CO",county,05000US08083,7110,7263,7051,7114,6488
"Montrose County, CO",county,05000US08085,6723,6876,6280,6392,7188
"Morgan County, CO",county,05000US08087,8770,9993,8899,8942,8614
"Otero County, CO",county,05000US08089,8087,8289,8157,7682,8100
"Ouray County, CO",county,05000US08091,6162,7544,5950,6416,5663
"Park County, CO",county,05000US08093,8171,7917,7187,7342,6737
